iso_alpha,year_,healthy_unaffordable_share
SVK,2020,1.2
SVN,2017,0.1
SVN,2018,0.1
SVN,2019,0.1
SVN,2020,0.1
ZAF,2017,65.2
ZAF,2018,64.8
ZAF,2019,65.0
ZAF,2020,65.2
KOR,2017,1.7
KOR,2018,1.7
KOR,2019,1.5
KOR,2020,1.7
ESP,2017,1.9
ESP,2018,2.1
ESP,2019,1.9
ESP,2020,2.0
LKA,2017,52.3
LKA,2018,48.8
LKA,2019,45.3
LKA,2020,49.0
SDN,2017,86.3
SDN,2018,89.1
SDN,2019,92.1
SDN,2020,91.8
SUR,2017,57.6
SUR,2018,55.5
SUR,2019,56.1
SUR,2020,58.8
SWE,2017,0.5
SWE,2018,1.2
SWE,2019,0.5
SWE,2020,0.6
CHE,2017,0.0
CHE,2018,0.0
CHE,2019,0.0
CHE,2020,0.0
TWN,2017,0.2
TJK,2017,42.9
TJK,2018,40.1
TJK,2019,42.0
TJK,2020,42.1
TZA,2017,88.7
TZA,2018,88.3
TZA,2019,87.4
TZA,2020,87.6
THA,2017,17.5
THA,2018,17.9
THA,2019,16.0
THA,2020,17.0
TTO,2017,10.7
TTO,2018,10.8
TTO,2019,11.0
TTO,2020,11.6
TUN,2017,21.8
TUN,2018,21.2
TUN,2019,20.8
TUN,2020,20.3
UGA,2017,84.8
UGA,2018,83.5
UGA,2019,82.7
UGA,2020,82.2
ARE,2017,0.0
ARE,2018,0.0
ARE,2019,0.0
ARE,2020,0.0
GBR,2017,0.5
GBR,2018,0.5
GBR,2019,0.5
GBR,2020,0.5
USA,2017,2.0
USA,2018,1.7
USA,2019,1.5
USA,2020,1.5
URY,2017,2.7
URY,2018,2.9
URY,2019,3.2
URY,2020,3.6
VNM,2017,32.4
VNM,2018,29.4
VNM,2019,26.8
VNM,2020,30.0
OWID_WRL,2017,42.9
OWID_WRL,2018,41.5
OWID_WRL,2019,40.9
OWID_WRL,2020,42.0
ZMB,2017,87.6
ZMB,2018,87.3
ZMB,2019,87.9
ZMB,2020,88.0
ZWE,2017,84.1
